time,open,high,low,close,volume
2025-11-07 20:00:00+00:00,4011.800048828125,4013.10009765625,4006.300048828125,4009.800048828125,0
2025-11-09 20:00:00+00:00,4017.800048828125,4020.39990234375,4009.800048828125,4019.5,4445
2025-11-10 00:00:00+00:00,4019.699951171875,4062.0,4019.199951171875,4058.699951171875,41435
2025-11-10 04:00:00+00:00,4058.5,4087.60009765625,4058.5,4083.60009765625,27133
2025-11-10 08:00:00+00:00,4083.39990234375,4095.10009765625,4079.5,4093.800048828125,27484
2025-11-10 12:00:00+00:00,4094.0,4115.0,4082.39990234375,4091.39990234375,72373
2025-11-10 16:00:00+00:00,4091.199951171875,4123.89990234375,4089.199951171875,4120.89990234375,58640
2025-11-10 20:00:00+00:00,4121.0,4129.7001953125,4113.7998046875,4126.60009765625,9316
2025-11-11 00:00:00+00:00,4126.89990234375,4154.0,4123.10009765625,4152.7001953125,35628
2025-11-11 04:00:00+00:00,4152.39990234375,4155.0,4131.2001953125,4136.10009765625,28210
2025-11-11 08:00:00+00:00,4135.89990234375,4152.39990234375,4135.10009765625,4149.60009765625,23111
2025-11-11 12:00:00+00:00,4149.7001953125,4153.39990234375,4102.7998046875,4112.60009765625,87757
2025-11-11 16:00:00+00:00,4112.39990234375,4131.7001953125,4110.7001953125,4128.39990234375,49572
2025-11-11 20:00:00+00:00,4128.60009765625,4151.0,4127.7001953125,4148.7001953125,9571
2025-11-12 00:00:00+00:00,4148.39990234375,4151.5,4117.5,4117.7001953125,28533
2025-11-12 04:00:00+00:00,4117.60009765625,4130.7001953125,4104.39990234375,4122.2998046875,28368
2025-11-12 08:00:00+00:00,4122.60009765625,4139.60009765625,4117.39990234375,4131.7001953125,27154
2025-11-12 12:00:00+00:00,4131.39990234375,4192.2998046875,4128.7001953125,4187.89990234375,82206
2025-11-12 16:00:00+00:00,4187.7001953125,4218.5,4186.5,4203.2998046875,91041
2025-11-12 20:00:00+00:00,4203.39990234375,4210.0,4190.2998046875,4195.60009765625,14945
2025-11-13 00:00:00+00:00,4195.5,4217.2001953125,4183.2001953125,4216.7998046875,37528
2025-11-13 04:00:00+00:00,4216.89990234375,4224.89990234375,4206.89990234375,4224.60009765625,31508
2025-11-13 08:00:00+00:00,4224.7001953125,4245.60009765625,4223.39990234375,4235.0,39159
2025-11-13 12:00:00+00:00,4234.7001953125,4250.0,4188.60009765625,4206.60009765625,80825
2025-11-13 16:00:00+00:00,4206.60009765625,4215.7998046875,4148.5,4167.7998046875,94157
2025-11-13 20:00:00+00:00,4167.7998046875,4189.60009765625,4164.2001953125,4188.89990234375,12982
2025-11-14 00:00:00+00:00,4189.0,4215.10009765625,4176.2001953125,4207.7001953125,27342
2025-11-14 04:00:00+00:00,4207.60009765625,4209.0,4162.10009765625,4184.39990234375,30699
2025-11-14 08:00:00+00:00,4184.5,4190.7001953125,4133.2998046875,4135.60009765625,43320
2025-11-14 12:00:00+00:00,4135.10009765625,4143.39990234375,4032.60009765625,4095.5,155063
2025-11-14 16:00:00+00:00,4095.699951171875,4113.2001953125,4082.60009765625,4091.800048828125,58856
2025-11-14 20:00:00+00:00,4092.199951171875,4094.199951171875,4077.5,4084.39990234375,12739
2025-11-16 20:00:00+00:00,4100.0,4107.60009765625,4094.0,4097.0,4908
2025-11-17 00:00:00+00:00,4097.60009765625,4103.60009765625,4070.5,4084.0,28656
2025-11-17 04:00:00+00:00,4084.199951171875,4089.89990234375,4051.10009765625,4088.89990234375,33084
2025-11-17 08:00:00+00:00,4088.89990234375,4097.10009765625,4062.300048828125,4080.10009765625,36886
2025-11-17 12:00:00+00:00,4080.0,4093.5,4059.800048828125,4065.60009765625,44983
2025-11-17 16:00:00+00:00,4065.199951171875,4082.5,4010.10009765625,4011.300048828125,58579
2025-11-17 20:00:00+00:00,4011.39990234375,4055.39990234375,4006.800048828125,4036.300048828125,21251
2025-11-18 00:00:00+00:00,4036.5,4044.800048828125,4008.0,4012.300048828125,30383
2025-11-18 04:00:00+00:00,4012.199951171875,4024.800048828125,3997.39990234375,4013.39990234375,38490
2025-11-18 08:00:00+00:00,4013.699951171875,4050.199951171875,4010.199951171875,4039.0,31366
2025-11-18 12:00:00+00:00,4039.0,4082.300048828125,4028.10009765625,4053.199951171875,73449
2025-11-18 16:00:00+00:00,4053.39990234375,4083.300048828125,4040.10009765625,4082.300048828125,42705
2025-11-18 20:00:00+00:00,4082.199951171875,4083.699951171875,4064.89990234375,4076.5,6189
2025-11-19 00:00:00+00:00,4076.10009765625,4081.300048828125,4056.10009765625,4066.800048828125,19060
2025-11-19 04:00:00+00:00,4066.699951171875,4100.0,4064.10009765625,4087.300048828125,24673
2025-11-19 08:00:00+00:00,4086.800048828125,4120.0,4078.199951171875,4113.60009765625,33394
2025-11-19 12:00:00+00:00,4113.60009765625,4134.2998046875,4090.5,4097.39990234375,71399
2025-11-19 16:00:00+00:00,4097.0,4099.39990234375,4055.60009765625,4073.800048828125,68117
2025-11-19 20:00:00+00:00,4073.39990234375,4108.10009765625,4065.0,4104.2998046875,9168
2025-11-20 00:00:00+00:00,4104.2998046875,4109.60009765625,4034.0,4070.300048828125,39049
2025-11-20 04:00:00+00:00,4070.39990234375,4079.10009765625,4052.800048828125,4058.89990234375,21575
2025-11-20 08:00:00+00:00,4058.300048828125,4071.5,4037.39990234375,4059.60009765625,41341
2025-11-20 12:00:00+00:00,4059.60009765625,4106.89990234375,4059.0,4069.5,81389
2025-11-20 16:00:00+00:00,4069.300048828125,4087.300048828125,4042.60009765625,4084.39990234375,69217
2025-11-20 20:00:00+00:00,4084.199951171875,4089.39990234375,4072.10009765625,4079.699951171875,8802
2025-11-21 00:00:00+00:00,4079.199951171875,4081.10009765625,4048.0,4054.5,22806
2025-11-21 04:00:00+00:00,4054.0,4063.39990234375,4021.60009765625,4029.0,33329
2025-11-21 08:00:00+00:00,4028.699951171875,4060.5,4018.10009765625,4034.10009765625,43358
2025-11-21 12:00:00+00:00,4034.300048828125,4082.89990234375,4032.300048828125,4068.699951171875,75616
2025-11-21 16:00:00+00:00,4068.5,4101.0,4061.800048828125,4087.199951171875,57112
2025-11-21 20:00:00+00:00,4087.0,4088.199951171875,4052.199951171875,4062.800048828125,16656
2025-11-23 20:00:00+00:00,4068.5,4074.800048828125,4062.5,4071.60009765625,3954
2025-11-24 00:00:00+00:00,4071.699951171875,4072.699951171875,4037.199951171875,4047.5,21561
2025-11-24 04:00:00+00:00,4047.199951171875,4064.5,4036.39990234375,4057.0,20889
2025-11-24 08:00:00+00:00,4056.5,4074.0,4056.199951171875,4066.5,25541
2025-11-24 12:00:00+00:00,4066.39990234375,4092.60009765625,4062.60009765625,4089.800048828125,63365
2025-11-24 16:00:00+00:00,4090.0,4126.39990234375,4086.5,4117.39990234375,67651
2025-11-24 20:00:00+00:00,4117.39990234375,4142.2001953125,4117.0,4141.89990234375,13865
2025-11-25 00:00:00+00:00,4141.89990234375,4152.0,4120.5,4140.10009765625,12770
2025-11-25 04:00:00+00:00,4139.7001953125,4150.0,4126.2998046875,4129.39990234375,9994
2025-11-25 08:00:00+00:00,4129.7001953125,4172.89990234375,4106.7001953125,4167.60009765625,84359
2025-11-25 12:00:00+00:00,4130.60009765625,4185.60009765625,4106.7998046875,4156.7998046875,102533
2025-11-25 16:00:00+00:00,4118.60009765625,4194.0,4118.10009765625,4131.7001953125,91523
2025-11-25 20:00:00+00:00,4131.89990234375,4177.2998046875,4124.39990234375,4167.60009765625,94532
2025-11-26 00:00:00+00:00,4167.89990234375,4204.89990234375,4129.39990234375,4201.2001953125,21656
2025-11-26 04:00:00+00:00,4201.0,4204.0,4144.10009765625,4191.89990234375,20616
2025-11-26 08:00:00+00:00,4191.89990234375,4208.60009765625,4151.7001953125,4206.7001953125,26137
2025-11-26 12:00:00+00:00,4206.7998046875,4209.0,4132.89990234375,4200.2998046875,67977
2025-11-26 16:00:00+00:00,4200.39990234375,4206.60009765625,4155.60009765625,4197.0,40429
2025-11-26 20:00:00+00:00,4196.60009765625,4201.2998046875,4157.2001953125,4196.60009765625,6623
2025-11-27 00:00:00+00:00,4196.5,4199.5,4144.5,4179.5,15747
2025-11-27 04:00:00+00:00,4179.2998046875,4186.89990234375,4140.0,4182.7001953125,4805
2025-11-28 12:00:00+00:00,4217.60009765625,4246.60009765625,4185.10009765625,4239.2998046875,29362
2025-11-28 16:00:00+00:00,4239.2998046875,4251.7001953125,4200.7001953125,4251.39990234375,18804
2025-11-30 20:00:00+00:00,4245.10009765625,4261.0,4214.89990234375,4257.2998046875,8256
2025-12-01 00:00:00+00:00,4257.5,4291.7998046875,4222.7998046875,4273.7998046875,41147
2025-12-01 04:00:00+00:00,4274.10009765625,4281.89990234375,4220.2998046875,4278.89990234375,29031
2025-12-01 08:00:00+00:00,4278.7001953125,4297.7998046875,4245.7998046875,4290.0,28120
2025-12-01 12:00:00+00:00,4289.7001953125,4299.60009765625,4219.2998046875,4265.2001953125,68126
2025-12-01 16:00:00+00:00,4265.39990234375,4278.7998046875,4222.89990234375,4270.7998046875,41958
2025-12-01 20:00:00+00:00,4270.89990234375,4276.0,4230.5,4260.10009765625,6819
2025-12-02 00:00:00+00:00,4260.39990234375,4262.89990234375,4199.7001953125,4247.7001953125,30527
2025-12-02 04:00:00+00:00,4247.89990234375,4258.10009765625,4234.39990234375,4244.5,22014
2025-12-02 08:00:00+00:00,4244.7001953125,4248.89990234375,4182.10009765625,4236.0,31839
2025-12-02 12:00:00+00:00,4236.10009765625,4262.2001953125,4181.5,4200.7998046875,74827
2025-12-02 16:00:00+00:00,4200.89990234375,4232.0,4167.0,4227.60009765625,42639
2025-12-02 20:00:00+00:00,4227.60009765625,4248.0,4195.39990234375,4244.0,8996
2025-12-03 00:00:00+00:00,4244.10009765625,4260.10009765625,4215.7001953125,4252.39990234375,18158
2025-12-03 04:00:00+00:00,4252.5,4256.2998046875,4231.10009765625,4236.10009765625,20279
2025-12-03 08:00:00+00:00,4236.5,4241.2998046875,4195.7001953125,4239.0,24100
2025-12-03 12:00:00+00:00,4239.10009765625,4273.2998046875,4209.0,4247.7998046875,61350
2025-12-03 16:00:00+00:00,4247.60009765625,4256.89990234375,4199.2001953125,4239.39990234375,37035
2025-12-03 20:00:00+00:00,4239.2998046875,4244.5,4232.2998046875,4237.0,5663
2025-12-04 00:00:00+00:00,4237.10009765625,4246.89990234375,4211.0,4224.39990234375,20649
2025-12-04 04:00:00+00:00,4224.39990234375,4227.7998046875,4175.0,4222.89990234375,22447
2025-12-04 08:00:00+00:00,4222.7001953125,4236.39990234375,4184.2998046875,4228.2001953125,23236
2025-12-04 12:00:00+00:00,4228.39990234375,4244.0,4191.89990234375,4237.60009765625,45810
2025-12-04 16:00:00+00:00,4237.7998046875,4251.10009765625,4202.0,4239.7001953125,37260
2025-12-04 20:00:00+00:00,4239.2998046875,4240.89990234375,4207.0,4236.2001953125,4185
2025-12-05 00:00:00+00:00,4236.2001953125,4240.60009765625,4204.10009765625,4238.89990234375,18454
2025-12-05 04:00:00+00:00,4238.5,4261.10009765625,4237.10009765625,4254.2998046875,21508
2025-12-05 08:00:00+00:00,4254.60009765625,4257.7001953125,4245.7998046875,4253.5,13654
2025-12-05 12:00:00+00:00,4253.60009765625,4290.5,4245.5,4274.89990234375,61193
2025-12-05 16:00:00+00:00,4275.0,4276.89990234375,4205.10009765625,4237.2998046875,63277
2025-12-05 20:00:00+00:00,4237.60009765625,4237.60009765625,4194.5,4227.7001953125,8877
